title,link,category,description,telephone,address,roadAddress,mapx,mapy,dong,category_keyword
주영볼링센터,,"스포츠,오락>볼링장",,,서울특별시 강서구 가양동 1480-8 주영빌딩,서울특별시 강서구 양천로 461 주영빌딩,1268521952,375629763,상암동,볼링장
포커스볼링센터,https://www.instagram.com/focusbowling,"스포츠,오락>볼링장",,,서울특별시 강서구 염창동 263-2 태진가람상가(아파트) 지하1층,서울특별시 강서구 양천로 706 태진가람상가(아파트) 지하1층,1268742000,375495583,상암동,볼링장
식스박스,https://www.6sixbox.com/,전문디자인>시각디자인,,,경기도 고양시 덕양구 화전동 646-6 중소기업벤처센터 212호,경기도 고양시 덕양구 항공대학로 76-5 중소기업벤처센터 212호,1268651773,375979000,상암동,방탈출
<b>보드게임카페</b> 레드버튼 망원역점,https://www.instagram.com/official_redbutton/,"스포츠,오락>보드카페",,,서울특별시 마포구 서교동 475-13 지하1층,서울특별시 마포구 월드컵로 74 지하1층,1269106262,375558144,상암동,보드게임카페
포퀸스<b>보드게임카페</b> 등촌점,https://blog.naver.com/4queensdc,"스포츠,오락>보드카페",,,서울특별시 강서구 등촌동 648-11 한울에이치벨리움 B-1 포퀸스 보드카페 등촌점,서울특별시 강서구 공항대로59가길 10 한울에이치벨리움 B-1 포퀸스 보드카페 등촌점,1268643083,375519582,상암동,보드게임카페
나우<b>보드게임카페</b>,https://blog.naver.com/now_boardgamecafe,"스포츠,오락>보드카페",,,서울특별시 서대문구 북가좌동 304-37 2층,서울특별시 서대문구 거북골로 184 2층,1269104185,375775558,상암동,보드게임카페
레인보우 <b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 상암동 1499,서울특별시 마포구 성암로13길 44,1268972819,375762582,상암동,당구장
토토<b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 상암동 15-29,서울특별시 마포구 월드컵북로48길 19,1268947290,375771313,상암동,당구장
369당구클럽,,"스포츠,오락>당구장",,,서울특별시 마포구 상암동 35-7 지하1층,서울특별시 마포구 월드컵북로44길 39 지하1층,1268949895,375764694,상암동,당구장
밀당 당구클럽,,"스포츠,오락>당구장",,,서울특별시 마포구 상암동 4-2 효인빌딩3층,서울특별시 마포구 매봉산로2길 15 효인빌딩3층,1268949775,375785265,상암동,당구장
<b>만화</b>속세상,,오락시설>만화방,,,서울특별시 양천구 목동 602-11,서울특별시 양천구 목동중앙북로7길 6,1268672793,375483153,상암동,만화카페
어깨동무스토리움,https://ekdmstoryum.org/index.php,"여행,명소>박물관",,,서울특별시 마포구 상암동 1762,서울특별시 마포구 월드컵로 386,1268866957,375749728,상암동,키즈카페
서울형<b>키즈카페</b> <b>마포구</b>상암점,https://icare.seoul.go.kr/icare/index.do,"키즈카페,실내놀이터",,,서울특별시 마포구 상암동 1686,서울특별시 마포구 상암산로1길 71,1268836867,375805628,상암동,키즈카페
베베마망키즈,https://www.instagram.com/bebemamankids,"서비스,산업>장소대여",,,서울특별시 마포구 상암동 1580 지하1층 B101호 (A동 방향),서울특별시 마포구 성암로 330 지하1층 B101호 (A동 방향),1268858564,375847380,상암동,키즈카페
고양풀스윙배팅센터,https://blog.naver.com/fullswing1121,"스포츠,오락>스포츠시설",,,경기도 고양시 덕양구 화전동 234-7,경기도 고양시 덕양구 중앙로78번안길 119,1268752443,376002637,상암동,스크린야구
리얼<b>야구</b>존 강서구청점,http://www.realyagu.co.kr/html/store_info.php,스포츠시설>스크린야구장,,,서울특별시 강서구 화곡동 1117-7 4층,서울특별시 강서구 공항대로46길 90 4층,1268506945,375523622,상암동,스크린야구
레전드<b>야구</b>존 강서화곡점,http://www.heatbat.com/,"스포츠,오락>야구연습장",,,"서울특별시 강서구 화곡동 1120-13 2층, 3층","서울특별시 강서구 화곡로58길 22-3 2층, 3층",1268520433,375525767,상암동,스크린야구
<b>야구</b>스타 가양스타디움,http://yagustar.com/,스포츠시설>스크린야구장,,,서울특별시 강서구 가양동 1498 한강자이타워 B동 210호,서울특별시 강서구 양천로 401 한강자이타워 B동 210호,1268489667,375651083,상암동,스크린야구
K POP STAR 노래연습장,,"스포츠,오락>노래방",,,서울특별시 마포구 상암동 17-7 2층,서울특별시 마포구 월드컵북로44길 46 2층,1268950464,375768045,상암동,노래방
TJ미디어 본사,https://smartstore.naver.com/tjmediacorp,"쇼핑,유통>영상,음향가전",,,서울특별시 마포구 상암동 1590 상암IT Tower 8층,서울특별시 마포구 월드컵북로 434 상암IT Tower 8층,1268859019,375816562,상암동,노래방
슈퍼스타<b>노래방</b>,,"스포츠,오락>노래방",,,서울특별시 마포구 상암동 16-5,서울특별시 마포구 월드컵북로44길 50,1268948925,375769051,상암동,노래방
스페셜노래연습장,,"스포츠,오락>노래방",,,서울특별시 마포구 상암동 13-10,서울특별시 마포구 월드컵북로48길 31,1268952301,375773756,상암동,노래방
레벨업<b>PC방</b> 상암점,,"스포츠,오락>PC방",,,서울특별시 마포구 상암동 1593 2층 202호,서울특별시 마포구 월드컵북로56길 9 2층 202호,1268875839,375813771,상암동,PC방
긱스타 <b>PC방</b> 상암점,,"스포츠,오락>PC방",,,서울특별시 마포구 상암동 4-2 지하1층,서울특별시 마포구 매봉산로2길 15 지하1층,1268949810,375785077,상암동,PC방
피사모,http://cafe.daum.net/pissamo,"친목,모임>클럽,동호회",,,서울특별시 마포구 상암동 1736 1010동 403호,서울특별시 마포구 월드컵북로 502-36 1010동 403호,1268821970,375856385,상암동,PC방
베뉴지아쿠아24,https://blog.naver.com/venuegfitness,"생활,편의>찜질방",,,서울특별시 강서구 화곡동 1095 지하2층 베뉴지아쿠아&베뉴지피트니스,서울특별시 강서구 화곡로 347 지하2층 베뉴지아쿠아&베뉴지피트니스,1268513356,375547094,상암동,찜질방
1인 세신샵 결 화곡점,https://blog.naver.com/ssuk2116,"생활,편의>목욕,찜질",,,서울특별시 강서구 화곡동 980-21 강서아이파크 3층 312호,서울특별시 강서구 화곡로 296 강서아이파크 3층 312호,1268490472,375505813,상암동,찜질방
1인 세신샵 스파 비단,https://blog.naver.com/spamildahwagok,"생활,편의>목욕,찜질",,,서울특별시 강서구 화곡동 982-3 브라운도트호텔 지하1층 세신샵 비단,서울특별시 강서구 화곡로44가길 39 브라운도트호텔 지하1층 세신샵 비단,1268483124,375495875,상암동,찜질방
무한사우나,,"생활,편의>목욕탕,사우나",,,서울특별시 강서구 염창동 310 3동 B101호 무한사우나,서울특별시 강서구 공항대로 593 3동 B101호 무한사우나,1268715382,375481453,상암동,찜질방
